image_name,part_0_x,part_0_y,part_1_x,part_1_y,part_2_x,part_2_y,part_3_x,part_3_y,part_4_x,part_4_y,part_5_x,part_5_y,part_6_x,part_6_y,part_7_x,part_7_y,part_8_x,part_8_y,part_9_x,part_9_y,part_10_x,part_10_y,part_11_x,part_11_y,part_12_x,part_12_y,part_13_x,part_13_y,part_14_x,part_14_y,part_15_x,part_15_y,part_16_x,part_16_y,part_17_x,part_17_y,part_18_x,part_18_y,part_19_x,part_19_y,part_20_x,part_20_y,part_21_x,part_21_y,part_22_x,part_22_y,part_23_x,part_23_y,part_24_x,part_24_y,part_25_x,part_25_y,part_26_x,part_26_y,part_27_x,part_27_y,part_28_x,part_28_y,part_29_x,part_29_y,part_30_x,part_30_y,part_31_x,part_31_y,part_32_x,part_32_y,part_33_x,part_33_y,part_34_x,part_34_y,part_35_x,part_35_y,part_36_x,part_36_y,part_37_x,part_37_y,part_38_x,part_38_y,part_39_x,part_39_y,part_40_x,part_40_y,part_41_x,part_41_y,part_42_x,part_42_y,part_43_x,part_43_y,part_44_x,part_44_y,part_45_x,part_45_y,part_46_x,part_46_y,part_47_x,part_47_y,part_48_x,part_48_y,part_49_x,part_49_y,part_50_x,part_50_y,part_51_x,part_51_y,part_52_x,part_52_y,part_53_x,part_53_y,part_54_x,part_54_y,part_55_x,part_55_y,part_56_x,part_56_y,part_57_x,part_57_y,part_58_x,part_58_y,part_59_x,part_59_y,part_60_x,part_60_y,part_61_x,part_61_y,part_62_x,part_62_y,part_63_x,part_63_y,part_64_x,part_64_y,part_65_x,part_65_y,part_66_x,part_66_y,part_67_x,part_67_y
1006.jpeg,7,48,6,57,8,66,10,75,13,84,18,91,27,96,37,97,48,97,60,96,71,95,80,91,85,83,88,74,91,65,92,57,92,47,13,31,18,25,24,23,32,25,38,28,52,29,60,27,67,26,75,27,80,32,45,37,45,41,45,45,45,49,38,59,42,59,45,59,50,59,53,59,20,41,24,37,30,37,35,41,30,42,24,43,57,41,62,37,68,37,73,41,68,42,63,42,33,81,38,73,43,68,46,69,50,68,56,72,62,79,57,85,51,86,47,87,43,86,38,85,36,80,43,74,47,73,50,73,59,79,51,80,47,80,43,80
1007.jpeg,7,36,8,47,10,57,12,67,15,77,20,85,27,92,35,97,45,98,56,97,65,93,74,87,81,79,85,70,88,59,90,49,91,38,12,30,17,26,25,25,32,25,40,28,54,27,62,25,69,24,77,25,83,30,47,35,46,42,46,49,46,57,38,62,42,63,46,64,50,64,54,63,21,36,26,33,31,33,36,37,31,38,26,38,58,37,63,33,69,34,74,37,69,39,64,39,32,79,37,76,42,74,46,76,50,75,55,77,60,79,55,84,50,86,45,86,42,85,37,83,35,79,42,78,46,79,50,79,58,80,49,80,45,80,42,80
1008.jpeg,1,33,3,44,5,55,7,65,11,75,17,84,25,91,34,96,45,96,57,95,67,91,76,85,83,76,88,67,91,56,94,45,96,34,8,28,14,22,23,19,33,20,41,24,50,24,59,21,70,21,79,24,86,31,46,34,45,43,45,52,44,60,35,62,39,64,44,66,50,64,55,62,18,35,23,34,28,34,34,36,28,36,23,36,58,36,63,35,68,36,74,37,68,38,63,37,29,73,35,70,40,68,44,69,49,68,53,70,58,74,53,78,49,80,44,80,39,80,34,77,32,73,40,71,44,72,49,71,55,74,49,74,44,74,39,74
1009.jpeg,6,33,7,44,9,54,12,64,16,72,23,80,30,87,38,92,47,93,56,91,63,86,69,80,74,71,77,62,79,53,81,43,82,33,15,26,21,22,28,21,35,22,41,25,56,25,62,22,68,21,75,23,79,27,48,34,48,41,48,47,48,53,40,57,44,58,48,59,51,59,55,58,23,35,28,33,32,33,37,36,32,37,27,37,58,37,63,34,67,34,71,36,68,38,63,38,35,71,39,67,44,65,47,66,50,65,54,68,58,72,54,78,50,81,47,81,43,81,39,77,37,71,44,68,47,68,50,69,55,72,50,75,47,76,44,75
101.jpeg,-2,43,0,55,2,66,6,76,12,85,20,92,30,97,41,99,52,98,61,97,67,92,71,85,74,76,75,66,76,57,76,48,74,39,12,30,17,24,25,22,33,22,41,25,56,26,61,23,67,22,72,22,75,27,50,37,52,43,53,50,55,56,45,64,49,65,53,65,56,64,59,63,22,39,26,36,32,36,37,39,32,41,26,41,56,39,61,35,66,35,70,38,67,40,61,40,38,82,44,77,50,75,54,75,57,74,60,76,62,80,60,85,57,87,54,88,50,88,44,86,41,82,50,79,53,79,56,79,60,80,57,81,54,82,50,82
1010.jpeg,10,36,10,46,12,55,14,65,17,75,21,84,28,91,36,96,46,97,57,96,65,92,71,85,76,77,80,68,82,58,83,49,83,39,16,29,22,25,28,25,34,26,41,29,55,28,61,26,68,25,74,26,80,30,47,35,46,40,46,46,46,52,41,59,43,59,46,60,50,59,53,58,21,36,26,32,32,32,37,37,31,38,25,39,58,37,62,32,68,32,72,35,69,38,62,38,32,74,37,70,43,68,47,69,51,68,57,69,62,73,57,80,52,84,48,85,43,84,37,81,35,74,43,71,47,72,51,71,60,73,52,78,47,79,43,79
1011.jpeg,14,47,15,56,16,66,18,75,23,83,29,89,37,93,46,95,55,95,63,94,70,90,76,83,81,76,84,67,85,57,85,47,84,37,19,34,22,28,29,26,36,26,43,29,52,27,59,23,66,21,74,22,78,27,48,36,49,43,49,49,50,55,42,60,46,61,50,62,55,61,59,59,26,40,29,37,34,37,39,40,34,41,30,41,58,37,62,33,67,32,71,35,68,37,63,38,36,73,42,71,47,70,51,70,54,69,60,70,66,70,60,75,55,76,52,77,48,77,42,77,38,73,48,73,51,73,54,72,63,71,54,72,51,73,47,73
1012.jpeg,5,36,6,47,7,56,9,66,13,74,20,82,28,88,36,93,46,95,55,93,62,89,68,83,73,75,76,66,78,57,80,48,80,39,14,28,19,23,27,21,35,22,43,26,54,27,61,24,68,23,75,25,78,30,49,35,48,41,48,47,48,53,39,58,43,59,47,61,51,60,55,59,22,36,27,34,32,34,36,37,31,38,26,38,58,38,62,36,67,36,71,38,67,39,62,39,34,72,38,69,43,67,46,68,49,67,54,70,58,74,54,78,49,80,46,80,42,79,38,77,36,72,43,71,46,72,49,72,56,74,49,74,46,74,43,74
1013.jpeg,5,38,5,48,6,57,8,66,11,75,16,83,24,88,34,92,44,93,54,92,63,88,71,83,76,76,78,68,80,59,81,51,81,42,15,29,21,25,27,24,34,25,41,27,56,27,61,24,68,24,74,25,78,30,47,34,47,39,47,44,46,49,40,57,43,58,46,58,50,58,53,57,21,36,26,33,31,33,37,37,31,38,25,38,57,37,62,33,67,33,71,36,67,39,62,38,31,70,36,67,42,65,46,65,50,65,55,66,61,70,55,73,50,75,46,75,42,75,36,73,33,70,42,69,46,69,50,69,58,70,50,69,46,70,42,69
1014.jpeg,0,34,1,46,4,56,6,67,10,77,16,87,25,93,35,97,46,97,57,96,66,92,75,86,82,77,86,67,90,57,92,45,93,34,9,27,15,22,23,19,32,20,40,23,51,23,60,21,69,20,78,23,85,29,45,34,45,43,45,52,44,60,36,62,40,65,44,66,50,65,54,62,18,35,23,34,28,34,34,36,28,37,23,37,58,36,63,34,68,35,74,36,68,37,63,37,29,74,34,71,40,69,44,70,49,69,54,71,58,74,54,79,49,82,44,82,39,81,34,79,31,74,40,72,45,73,49,72,55,74,49,75,44,76,39,75
1015.jpeg,12,38,12,48,14,58,16,68,20,76,26,83,34,88,43,91,53,91,62,90,70,85,76,79,80,71,82,62,83,53,85,44,85,34,17,30,21,24,28,23,36,24,42,27,54,26,60,23,67,21,75,21,79,26,48,34,49,41,49,49,50,56,41,59,45,61,50,62,54,60,58,58,25,36,29,34,34,34,38,37,34,38,29,38,58,35,63,33,67,32,72,33,68,36,63,36,35,72,41,70,46,69,50,70,54,68,59,69,64,70,60,74,55,76,51,76,46,76,41,76,38,72,46,72,50,72,54,71,62,70,54,72,50,72,46,72
1016.jpeg,4,39,6,50,8,60,10,70,13,80,18,89,25,94,36,97,47,97,58,97,68,95,76,89,82,81,86,72,88,62,90,51,91,41,11,31,17,26,25,25,33,26,41,28,56,27,64,25,72,25,80,26,85,32,48,35,48,43,48,51,48,59,39,64,44,65,48,66,52,65,57,64,21,37,26,34,31,33,36,37,31,38,26,38,59,37,64,34,70,34,75,38,70,39,65,38,34,81,39,78,44,77,47,78,52,77,56,79,60,82,56,85,51,86,47,87,43,86,38,85,37,81,44,80,47,80,52,80,57,82,51,81,47,82,43,81
1017.jpeg,6,44,7,54,9,64,11,74,15,83,21,90,31,94,41,97,53,97,63,96,72,93,79,87,83,79,85,70,86,60,86,50,87,39,14,30,19,24,27,20,35,19,44,21,58,21,65,18,72,18,79,21,83,27,51,31,52,37,53,43,53,49,45,56,49,57,53,58,57,57,60,56,24,37,29,34,34,33,39,36,34,37,29,38,61,35,66,32,71,32,75,34,71,36,66,36,39,74,45,70,49,68,53,69,57,68,61,70,67,74,62,77,57,78,53,78,50,78,45,76,42,73,49,71,53,72,57,72,64,73,57,73,53,73,49,73
1018.jpeg,6,32,6,43,7,53,9,62,13,72,18,81,25,89,32,95,41,97,50,96,58,92,65,85,71,77,74,68,78,59,81,49,82,39,16,24,21,20,28,19,36,20,42,23,54,24,61,22,68,22,75,25,78,30,47,34,47,41,47,49,47,56,40,60,43,61,46,62,49,62,52,61,23,32,27,30,33,30,37,34,32,35,27,35,56,36,61,32,67,32,70,35,67,37,61,37,34,76,38,72,43,71,46,72,48,71,52,74,54,77,51,81,48,84,44,84,41,83,37,80,36,76,43,74,45,75,48,75,52,77,48,78,44,79,42,78
1019.jpeg,6,46,7,55,8,65,11,74,15,83,20,91,29,95,40,97,51,97,62,96,72,94,80,88,85,80,87,70,88,60,89,51,88,41,12,33,17,28,24,26,31,26,39,28,52,29,59,27,67,25,74,26,80,30,46,37,46,41,47,45,47,49,41,60,44,60,48,59,52,59,55,58,21,42,25,38,31,38,36,41,31,43,25,43,57,40,62,36,68,36,72,38,68,41,62,41,34,78,40,74,46,71,49,72,52,70,58,72,64,75,58,78,53,80,50,80,46,80,41,79,37,77,46,75,49,75,52,75,62,75,53,75,50,76,46,76
1020.jpeg,6,37,6,48,8,58,10,68,13,78,18,86,26,92,35,96,46,97,56,96,65,93,72,87,77,78,80,69,82,59,85,50,86,40,12,27,18,22,25,21,33,22,40,26,57,26,64,24,71,23,78,24,83,29,49,35,49,40,49,46,49,52,40,58,44,59,48,60,52,60,56,59,21,36,26,34,31,34,36,37,31,38,26,38,60,38,65,36,70,36,75,38,70,40,65,39,32,74,38,71,43,69,47,70,51,69,57,71,62,75,57,78,51,80,47,80,43,80,37,78,34,74,43,73,47,74,51,74,60,75,51,74,47,74,43,74
1021.jpeg,11,39,11,50,12,60,13,71,16,80,21,88,29,94,39,97,50,98,60,97,69,93,76,86,80,78,82,68,84,59,85,49,85,39,16,33,20,27,28,25,35,26,43,29,54,28,61,25,69,24,77,26,81,32,48,36,48,44,48,51,48,59,40,63,44,64,48,66,53,64,57,63,24,38,28,34,34,34,38,39,33,40,28,40,59,38,63,34,69,34,73,37,69,40,64,40,34,77,40,75,45,73,49,74,52,73,58,74,63,76,58,80,53,81,49,81,45,81,39,80,37,77,45,76,49,76,53,76,61,77,53,76,49,77,45,77
1022.jpeg,10,42,10,52,12,62,14,71,17,80,21,88,27,94,36,98,46,98,57,97,67,94,75,88,81,81,84,71,86,61,88,51,89,40,13,33,17,26,24,24,31,24,38,26,50,26,58,22,66,21,74,23,79,29,44,35,44,42,44,48,44,55,38,62,41,63,44,64,48,63,52,62,21,39,26,35,31,35,36,39,31,40,25,41,56,38,61,34,67,33,71,36,67,39,61,39,32,80,37,76,41,74,45,75,48,74,54,76,60,79,54,82,49,83,45,84,41,84,37,83,35,80,41,78,45,78,49,78,57,79,49,78,45,79,41,78
1023.jpeg,7,39,8,49,10,59,13,69,16,78,21,86,29,93,38,96,49,97,59,96,67,91,73,84,77,76,79,66,81,57,83,47,83,37,14,29,18,24,25,22,32,22,39,25,56,25,62,23,69,22,75,24,79,28,48,35,48,41,49,48,49,55,42,60,45,61,49,61,52,61,55,60,21,37,26,33,32,34,37,38,31,39,25,39,57,38,62,33,68,33,73,36,69,39,63,39,32,74,38,70,44,68,49,69,52,68,58,70,63,74,59,81,53,84,49,84,44,84,38,81,35,74,44,71,49,71,53,71,61,74,53,79,49,79,44,79
1024.jpeg,7,38,9,48,10,58,12,68,15,77,20,86,26,92,34,96,44,98,55,97,65,94,74,89,81,81,84,72,87,62,89,52,91,41,13,29,18,24,26,22,34,23,41,27,56,28,63,25,71,24,79,26,84,32,48,36,48,43,47,50,47,57,39,62,43,63,47,65,51,64,55,63,21,37,26,34,32,34,37,38,32,39,26,39,60,39,65,36,71,36,76,39,71,42,65,41,32,77,37,74,42,73,46,74,50,73,56,75,62,78,56,84,50,87,46,87,41,86,36,83,34,77,42,75,46,76,50,76,60,78,50,81,46,82,42,81
1025.jpeg,7,41,9,51,11,60,14,69,17,78,23,86,30,92,39,97,49,97,59,96,66,90,72,83,75,75,77,65,78,56,80,47,80,38,15,30,20,25,26,23,33,23,40,26,55,26,61,23,67,22,73,24,77,29,48,35,49,41,49,47,49,54,42,60,46,60,49,61,52,60,55,59,22,38,27,34,33,34,37,38,32,40,27,40,57,38,62,34,68,34,72,37,68,40,62,40,34,74,39,69,45,67,49,68,53,67,58,69,63,74,59,80,53,82,49,83,45,82,39,80,37,74,45,71,49,71,53,71,60,74,53,77,49,78,45,77
1026.jpeg,9,41,10,51,12,61,14,70,18,79,24,86,32,91,41,95,50,96,59,96,68,92,75,86,81,78,83,69,85,59,86,50,87,39,16,31,20,25,27,22,34,22,42,24,56,23,63,21,70,21,77,24,81,30,49,32,50,38,50,44,50,50,43,55,46,56,50,57,53,57,57,55,25,36,29,34,34,34,38,36,33,37,29,38,59,36,64,33,69,33,73,35,69,37,64,37,36,70,41,66,46,65,50,66,53,66,58,67,64,71,58,76,53,78,49,78,45,77,41,74,39,70,46,67,50,67,53,67,61,72,53,74,50,74,45,73
1027.jpeg,2,46,3,57,4,67,6,78,9,87,15,94,24,97,35,98,47,98,59,98,71,97,82,94,88,87,91,77,93,67,94,56,94,46,11,27,17,22,25,19,33,20,41,24,56,23,64,20,73,20,81,22,86,28,48,34,48,40,48,46,48,52,39,61,43,62,48,63,52,62,56,62,20,39,25,37,31,37,37,40,31,41,25,41,60,39,66,37,72,37,77,39,72,41,66,41,28,80,35,75,42,72,47,73,52,72,60,75,67,81,60,84,53,85,47,86,42,85,35,84,31,80,43,78,47,78,52,78,64,81,52,79,47,79,42,79
1028.jpeg,7,41,8,51,9,60,11,70,15,79,20,87,28,93,37,96,47,97,58,96,66,92,73,87,78,79,81,70,83,61,85,52,86,42,15,29,20,24,27,22,34,23,41,26,57,27,63,25,70,24,76,26,81,31,48,36,49,42,49,48,49,55,40,61,44,62,48,63,53,62,57,61,22,37,27,35,32,35,37,38,32,39,27,39,59,39,64,36,69,37,74,39,69,41,64,40,32,75,38,72,44,71,48,72,52,71,57,72,62,75,57,79,52,82,48,82,43,82,38,80,35,75,44,74,48,74,52,74,59,75,52,77,48,77,43,77
1029.jpeg,5,43,6,54,8,64,10,74,14,82,19,89,28,94,38,96,48,97,59,96,68,94,76,89,82,81,85,71,86,61,87,51,88,40,12,30,15,23,22,19,31,17,39,19,53,19,60,16,69,17,76,20,81,27,46,29,46,35,46,41,46,47,40,54,43,55,47,56,51,55,55,53,21,35,25,32,30,31,35,34,30,36,25,36,58,33,62,30,67,30,72,33,68,34,62,34,34,71,38,66,43,64,47,65,51,64,56,66,62,71,56,75,51,77,47,77,43,76,38,75,36,70,43,66,47,67,51,67,59,71,51,73,47,73,43,72
103.jpeg,12,54,13,62,14,70,15,79,17,87,22,93,29,97,39,98,50,97,62,97,72,95,79,91,83,83,85,75,86,66,86,57,86,48,16,34,19,27,25,23,32,21,39,23,53,22,60,19,68,20,74,24,78,30,47,33,47,38,47,42,48,47,42,58,45,58,48,58,52,58,55,57,24,42,28,39,33,38,38,41,33,43,28,43,57,39,62,36,67,36,71,39,67,40,62,40,34,76,39,71,44,67,49,68,52,67,58,69,65,75,59,76,53,76,49,77,45,77,40,77,36,75,45,71,49,71,53,71,62,74,53,72,49,72,45,72
1030.jpeg,9,38,9,49,10,60,12,70,15,79,20,88,27,94,36,97,47,98,58,98,67,94,74,87,79,78,82,68,84,58,86,47,87,36,14,31,18,25,26,24,34,26,41,30,52,29,59,26,67,24,76,25,80,30,46,38,46,46,46,54,46,63,36,64,41,67,46,69,51,67,56,64,22,39,26,37,31,37,36,39,31,40,26,40,57,39,62,37,67,37,72,38,67,40,62,40,31,77,36,75,42,75,46,76,50,75,56,76,61,78,56,82,51,84,46,84,41,84,36,82,33,77,42,77,46,78,50,77,59,78,50,79,46,80,42,79
1031.jpeg,20,45,19,53,19,61,19,70,21,78,23,87,28,93,34,98,43,99,54,99,66,97,76,94,85,88,90,80,93,69,94,59,95,48,23,31,24,26,29,24,34,24,40,26,54,26,61,22,69,22,75,25,80,31,45,36,43,42,41,48,40,54,36,60,39,61,43,62,47,61,52,60,27,41,30,39,34,39,39,40,34,42,30,42,58,40,63,38,67,38,71,40,67,41,63,41,32,74,35,70,39,69,44,70,48,69,55,70,62,74,55,77,48,78,43,78,39,78,35,77,34,74,39,73,44,73,48,73,59,74,48,73,43,73,39,73
1032.jpeg,7,36,7,46,8,57,9,66,12,76,18,84,25,90,33,95,43,97,53,96,63,93,71,88,78,81,81,72,84,62,86,52,87,42,15,28,20,25,28,24,35,25,41,28,55,28,63,27,71,27,78,28,82,33,48,35,47,41,47,47,46,53,38,58,42,59,46,61,50,60,53,59,21,34,26,31,32,32,37,37,31,37,25,37,59,38,64,34,70,34,75,38,70,40,64,40,29,73,35,69,42,67,45,68,49,68,55,70,61,74,55,80,49,82,44,82,40,82,34,79,32,73,41,70,45,71,49,71,58,74,49,76,45,77,41,76
1033.jpeg,10,37,11,47,13,57,16,67,19,76,25,84,32,90,40,95,50,95,60,94,68,89,75,83,79,75,82,66,84,57,85,46,85,36,16,29,20,24,27,22,33,23,40,26,51,26,58,23,66,22,73,23,78,28,47,34,47,39,47,44,47,49,40,56,44,57,48,58,52,57,55,56,24,35,27,32,33,32,37,36,32,37,27,37,57,36,61,31,66,31,70,34,67,37,62,37,36,72,41,68,45,66,49,66,52,65,57,67,62,71,57,75,53,77,49,77,46,77,41,75,39,72,45,70,49,70,52,69,59,71,52,71,49,72,45,71
1034.jpeg,2,33,3,45,6,56,8,67,12,78,17,87,25,94,35,97,46,98,57,98,67,95,75,88,81,79,84,68,87,57,89,45,90,32,9,31,15,27,24,27,32,28,40,31,54,30,62,28,70,26,78,26,84,30,46,37,46,46,46,55,46,64,37,67,42,69,46,71,51,69,55,68,19,37,24,35,30,34,35,38,30,39,24,39,59,38,64,35,70,35,75,37,70,40,64,40,34,85,38,82,42,80,47,82,51,80,55,82,59,85,55,88,51,89,46,89,42,89,38,88,36,85,42,84,47,85,51,84,56,85,50,82,46,83,42,82
1035.jpeg,13,45,14,54,16,62,18,71,22,78,27,85,34,90,43,94,52,94,62,92,70,88,77,83,82,75,85,66,86,57,87,48,87,39,16,32,19,27,26,25,33,24,41,26,54,27,60,24,67,22,74,23,79,27,47,34,47,38,47,42,47,46,42,55,45,55,49,55,52,54,56,53,24,39,28,36,33,35,38,38,33,39,28,40,57,36,62,33,67,32,71,35,67,37,62,37,38,73,42,67,46,63,49,64,52,63,57,65,62,70,58,73,53,75,50,76,47,76,42,75,40,72,47,67,50,67,52,67,60,69,53,71,50,71,47,71
1036.jpeg,8,33,10,44,12,54,15,64,19,73,26,82,34,89,42,94,51,94,60,92,66,86,71,78,76,69,78,60,79,51,81,41,81,31,17,31,23,28,29,27,36,28,42,30,54,29,60,26,67,24,73,24,78,27,49,35,49,42,50,49,51,57,43,60,46,61,50,63,54,61,58,60,24,36,29,34,34,34,38,37,34,39,29,39,58,36,62,33,67,32,71,34,68,37,63,37,38,73,42,72,47,71,51,72,54,71,59,72,63,73,59,78,55,80,52,80,48,80,43,78,40,74,48,73,51,74,54,73,61,73,54,75,51,75,48,75
1037.jpeg,8,40,9,50,11,60,14,70,18,79,24,87,31,94,40,97,50,98,60,97,68,94,76,87,81,78,84,69,86,59,87,49,87,38,14,32,19,26,26,24,34,25,41,28,54,28,61,25,69,24,76,26,81,32,49,35,49,41,49,46,50,52,42,59,46,60,50,61,53,60,57,59,22,37,27,34,33,34,38,37,33,38,27,38,59,38,63,34,69,34,73,37,69,38,64,38,36,77,41,72,46,69,49,70,53,69,58,72,63,76,59,82,54,85,50,85,46,85,41,82,39,77,46,74,50,74,53,74,60,76,53,77,50,78,46,77
